"rank","usps","pop2020","pop2010","change","density","aland"
"113","CA","210543","204213","0.0310","1148.9135","183254000"
"114","AL","208940","211743","-0.0132","552.2633","378334000"
"115","TX","208487","132943","0.5682","1202.5344","173373000"
"116","FL","206410","164843","0.2522","668.5712","308733000"
"117","NC","205646","208335","-0.0129","537.0427","382923000"
"118","MI","205289","188003","0.0919","1770.9694","115919000"
"119","CA","204765","191726","0.0680","2594.6223","78919000"
"120","NY","203792","210452","-0.0316","2199.9531","92634700"
"121","AL","202910","180960","0.1213","365.4739","555197000"
"122","TX","202028","191255","0.0563","766.6631","263516000"
"123","CA","201941","191303","0.0556","2887.4949","69936400"
"124","NV","199722","178395","0.1195","2318.9540","86125900"
"125","FL","199503","154735","0.2893","727.0385","274405000"
"126","FL","199205","181596","0.0970","765.5077","260226000"
"127","NY","199021","196405","0.0133","4266.1222","46651500"
"128","IL","198870","198157","0.0036","1705.9843","116572000"
"129","TX","198442","175979","0.1276","1060.3990","187139000"
"130","OH","198148","199003","-0.0043","1235.2982","160405000"
"131","AR","197371","193928","0.0178","635.0888","310777000"
"132","AL","197282","205593","-0.0404","476.4195","414093000"
"133","KS","196636","174041","0.1298","1009.8605","194716000"
"134","GA","196303","196192","0.0006","250.7424","782887000"
"135","AZ","194218","162326","0.1965","1875.7594","103541000"
"136","NV","192934","189372","0.0188","2231.8777","86444700"
"137","TN","191060","178432","0.0708","747.3090","255664000"
"138","SD","190519","154526","0.2329","940.3145","202612000"
"139","GA","189296","191105","-0.0095","337.6192","560679000"
"140","AL","186804","194577","-0.0399","517.1589","361212000"
"141","CA","186653","164369","0.1356","1442.4163","129403000"
"142","WA","186516","167622","0.1127","1477.4013","126246000"
"143","MA","186433","181878","0.0250","1926.7151","96762100"
"144","FL","184599","166138","0.1111","2060.7719","89577600"
"145","TN","184143","170559","0.0796","497.3168","370273000"
"146","LA","183819","200869","-0.0849","661.0672","278064000"
"147","TX","183748","175400","0.0476","536.1586","342712000"
"148","AZ","180219","154891","0.1635","395.3810","455811000"
"149","CA","180031","166232","0.0830","1732.7000","103902000"
"150","OR","179944","155229","0.1592","1426.8813","126110000"
"151","RI","178901","178100","0.0045","3752.8818","47670300"
"152","OR","178329","156527","0.1393","1559.9654","114316000"
"153","CA","177406","153394","0.1565","1629.6113","108864000"
"154","CA","177132","175304","0.0104","1608.4777","110124000"
"155","VA","177064","180925","-0.0213","990.9060","178689000"
"156","FL","177058","155268","0.1403","2092.3079","84623300"
"157","CA","176950","167919","0.0538","1656.0444","106851000"
"158","NC","175102","137021","0.2779","1151.2446","152098000"
"159","CO","172862","145267","0.1900","1167.1821","148102000"
"160","CA","171213","153249","0.1172","1653.2256","103563000"
"161","CA","170328","171186","-0.0050","3662.2432","46509200"
"162","MO","169552","159484","0.0631","794.5491","213394000"
"163","VA","165748","140740","0.1777","4285.1751","38679400"
"164","PR","165383","185996","-0.1108","2366.9424","69872000"
"165","TN","164496","133480","0.2324","642.8588","255882000"
"166","NV","164314","108481","0.5147","1240.8174","132424000"
"167","CA","161314","144746","0.1145","1367.7517","117941000"
"168","MS","160080","173738","-0.0786","556.3897","287712000"
"169","CO","158660","142786","0.1112","1423.0873","111490000"
"170","CA","158627","156822","0.0115","649.6128","244187000"
"171","FL","158239","141018","0.1221","2240.4951","70626800"
"172","CA","156299","152962","0.0218","568.9061","274736000"
"173","CA","155619","150904","0.0312","2564.6143","60679300"
"174","MA","155472","153613","0.0121","1883.5913","82540200"
"175","WA","154647","128358","0.2048","1784.4475","86663800"
